city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,year
ely (20 miles north of),nv,chevron,300.0,8/5/2001,39.2475,-114.8877778,1999
conway,ar,light,3600.0,6/2/1998,35.0886111,-92.4419444,1965
wellington,fl,other,40.0,12/7/2006,26.6583333,-80.2416667,2006
killeen,tx,oval,73800.0,8/5/2001,31.1169444,-97.7275,2001
frankfort,il,triangle,120.0,5/15/2013,41.4958333,-87.8486111,2013
richmond,ca,flash,180.0,10/30/2006,37.9358333,-122.3466667,2006
rutledge,pa,other,1800.0,11/11/2003,39.9016667,-75.3288889,2003
vanceburg,ky,fireball,300.0,11/20/2001,38.5991667,-83.3188889,2001
las vegas,nv,other,1500.0,5/24/2005,36.175,-115.1363889,1995
mccordsville,in,circle,10.0,10/31/2008,39.9080556,-85.9227778,2008
ballwin,mo,fireball,180.0,2/4/2013,38.595,-90.5461111,2012
orland park,il,light,1200.0,8/24/2004,41.6302778,-87.8538889,2004
willow,ak,circle,2.0,10/8/2007,61.7472222,-150.0375,2007
waterbury,ct,disk,10.0,10/15/2003,41.5580556,-73.0519444,2003
greeley,co,other,300.0,12/12/2009,40.4233333,-104.7086111,2009
yorba linda,ca,light,900.0,2/14/2008,33.8886111,-117.8122222,2008
jacksonville beach,fl,light,60.0,4/14/2009,30.2944444,-81.3933333,2009
grayson,ky,triangle,90.0,7/13/2005,38.3325,-82.9486111,2005
san francisco,ca,triangle,7.0,10/8/2007,37.775,-122.4183333,2007
lebanon,oh,oval,300.0,7/3/2013,39.4352778,-84.2030556,2013
moline,il,disk,600.0,9/29/2004,41.5066667,-90.515,1980
san diego,ca,fireball,360.0,12/2/2013,32.7152778,-117.1563889,2013
woodland,ca,cone,300.0,7/11/2000,38.6786111,-121.7722222,2000
parma,oh,flash,2.0,12/16/2005,41.4047222,-81.7230556,2005
manistee,mi,fireball,2.0,1/28/1999,44.2444444,-86.3241667,1998
stony point,ny,light,300.0,3/23/2004,41.2294444,-73.9875,2004
detroit,or,light,30.0,6/2/1998,44.7341667,-122.1486111,1991
santa fe,nm,disk,300.0,1/31/2011,35.6869444,-105.9372222,1966
houston,tx,triangle,15.0,11/23/1999,29.7630556,-95.3630556,1999
boise,id,light,1500.0,1/12/2012,43.6136111,-116.2025,2011
runnemede,nj,triangle,21600.0,12/23/2013,39.8522222,-75.0683333,2013
belle chasse,la,other,300.0,3/4/2008,29.8547222,-89.9905556,1985
sierra madre,ca,fireball,60.0,1/7/2000,34.1616667,-118.0519444,2000
kiefer,ok,fireball,5.0,7/4/2012,35.9447222,-96.065,2012
new hampton,ia,light,900.0,1/10/2009,43.0591667,-92.3175,2008
dublin,oh,sphere,180.0,3/18/2014,40.0991667,-83.1141667,2013
whitesburg,ga,other,1800.0,5/27/2003,33.4938889,-84.9138889,2001
knoxville,md,circle,60.0,3/19/2009,39.3269444,-77.6644444,2009
st. peters,mo,oval,5.0,11/20/2001,38.8002778,-90.6263889,2001
elkton,md,light,10.0,8/5/2001,39.6066667,-75.8336111,2001
st. paul,mn,disk,300.0,4/16/2005,44.9444444,-93.0930556,1957
turnersville,nj,rectangle,30.0,9/2/2005,39.7730556,-75.0516667,2003
griffin,ga,light,2700.0,10/11/2005,33.2466667,-84.2641667,2005
dinuba,ca,triangle,10.0,10/8/2007,36.5433333,-119.3861111,2007
wildomar,ca,circle,5.0,4/18/2012,33.5988889,-117.2791667,2012
